"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\Users\mahdi\Desktop\express-app\src\client\App.jsx", "JavaScript JSX", 0, 46, 0, 0, 0, 2, 48
"c:\Users\mahdi\Desktop\express-app\src\client\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\mahdi\Desktop\express-app\src\client\components\Books\Categories.jsx", "JavaScript JSX", 0, 102, 0, 0, 0, 4, 106
"c:\Users\mahdi\Desktop\express-app\src\client\components\Books\PDFViewr.jsx", "JavaScript JSX", 0, 33, 0, 0, 0, 7, 40
"c:\Users\mahdi\Desktop\express-app\src\client\components\Books\SingleFileViewr.jsx", "JavaScript JSX", 0, 60, 0, 0, 0, 7, 67
"c:\Users\mahdi\Desktop\express-app\src\client\components\Books\UserUI.jsx", "JavaScript JSX", 0, 29, 0, 0, 0, 3, 32
"c:\Users\mahdi\Desktop\express-app\src\client\components\CancelButton.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 3, 19
"c:\Users\mahdi\Desktop\express-app\src\client\components\ConfirmDelete.jsx", "JavaScript JSX", 0, 53, 0, 0, 0, 5, 58
"c:\Users\mahdi\Desktop\express-app\src\client\components\Files\Files.jsx", "JavaScript JSX", 0, 72, 0, 0, 0, 7, 79
"c:\Users\mahdi\Desktop\express-app\src\client\components\Files\SingleFile.jsx", "JavaScript JSX", 0, 83, 0, 0, 0, 6, 89
"c:\Users\mahdi\Desktop\express-app\src\client\components\Form\CategorieInput.jsx", "JavaScript JSX", 0, 67, 0, 0, 0, 5, 72
"c:\Users\mahdi\Desktop\express-app\src\client\components\Form\CategorieTextInput.jsx", "JavaScript JSX", 0, 30, 0, 0, 0, 3, 33
"c:\Users\mahdi\Desktop\express-app\src\client\components\Form\FileInput.jsx", "JavaScript JSX", 0, 30, 0, 0, 0, 3, 33
"c:\Users\mahdi\Desktop\express-app\src\client\components\Form\FormButton.jsx", "JavaScript JSX", 0, 14, 0, 0, 0, 3, 17
"c:\Users\mahdi\Desktop\express-app\src\client\components\Form\FormRedirect.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 3, 19
"c:\Users\mahdi\Desktop\express-app\src\client\components\Form\LoadingButton.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 3, 18
"c:\Users\mahdi\Desktop\express-app\src\client\components\Form\TextInput.jsx", "JavaScript JSX", 0, 38, 0, 0, 0, 3, 41
"c:\Users\mahdi\Desktop\express-app\src\client\components\Header\Navbar.jsx", "JavaScript JSX", 0, 5, 0, 0, 0, 2, 7
"c:\Users\mahdi\Desktop\express-app\src\client\components\Home\BackToHome.jsx", "JavaScript JSX", 0, 12, 0, 0, 0, 2, 14
"c:\Users\mahdi\Desktop\express-app\src\client\components\LoadingUi.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 3, 13
"c:\Users\mahdi\Desktop\express-app\src\client\components\Upload\UploadContainer.jsx", "JavaScript JSX", 0, 125, 0, 0, 0, 10, 135
"c:\Users\mahdi\Desktop\express-app\src\client\components\Upload\UploadController.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 3, 22
"c:\Users\mahdi\Desktop\express-app\src\client\components\auth\LogOut.jsx", "JavaScript JSX", 0, 22, 0, 0, 0, 3, 25
"c:\Users\mahdi\Desktop\express-app\src\client\components\auth\MessagesUI.jsx", "JavaScript JSX", 0, 22, 0, 0, 0, 3, 25
"c:\Users\mahdi\Desktop\express-app\src\client\components\auth\TextHeader.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 3, 12
